volume,lfd Nr.,Signatur-Fonds,Signatur-Nr.,datum,when,notBefore,notAfter,ort,region,region_konk,form,flags
Müller et al. 2007,46,Urk.,126,[14]66 Juni 21,1466-06-21,,,Thorn,Polen,Polen,Schuldenvereinbarung,
Aberle/Prescher 1997,32,Urk.,128,1469 Februar 13,1469-02-13,,,Nürnberg,Bayern,Bayern,,
Aberle/Prescher 1997,65,Urk.,130,1470 November 22,1470-11-22,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,66,Urk.,132,1471 September 19,1471-09-19,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,67,Urk.,136,1474 Juli 23,1474-07-23,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,68,Urk.,137,1474 Oktober 19,1474-10-19,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,42,Urk.,139,1475 Februar 4,1475-02-04,,,,Österreich,Österreich,,
Aberle/Prescher 1997,69,Urk.,140,1475 Mai 9,1475-05-09,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,15,Urk.,141,1475 September 20,1475-09-20,,,Dirmstein,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,70,Urk.,143,1476 Dezember 17,1476-12-17,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,71,Urk.,145,1477 September 22,1477-09-22,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,16,Urk.,147,1478 Februar 9,1478-02-09,,,,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,24,Urk.,148,1478 April 13,1478-04-13,,,Straßburg (Argentina),Oberrhein,Oberrhein,,
Aberle/Prescher 1997,72,Urk.,149,1478 Oktober 27,1478-10-27,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
